0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,6
601,0
602,9
603,2
604,6
605,5
606,0
607,6
608,8
609,1
610,6
611,4
612,3
613,6
614,6
615,2
616,1
617,3
618,1
619,5
620,0
621,0
622,6
623,5
624,3
625,0
626,8
627,4
628,0
629,8
630,7
631,4
632,8
633,3
634,1
635,4
636,4
637,6
638,3
639,0
640,9
641,0
642,1
643,6
644,6
645,2
646,8
647,9
648,8
649,6
650,1
651,2
652,0
653,6
654,0
655,0
656,6
657,7
658,3
659,6
660,7
661,6
662,2
663,9
664,0
665,6
666,4
667,3
668,0
669,1
670,3
671,5
672,6
673,6
674,0
675,9
676,4
677,2
678,9
679,7
680,0
681,9
682,2
683,4
684,3
685,6
686,9
687,4
688,7
689,1
690,6
691,5
692,7
693,0
694,8
695,9
696,2
697,2
698,5
699,9
700,7
701,7
702,7
703,4
704,4
705,8
706,5
707,9
708,6
709,0
710,1
711,2
712,0
713,8
714,1
715,3
716,4
717,2
718,2
719,9
720,6
721,3
722,8
723,0
724,1
725,4
726,4
727,6
728,4
729,6
730,5
731,6
732,1
733,3
734,6
735,1
736,2
737,0
738,9
739,2
740,8
741,4
742,4
743,3
744,8
745,5
746,9
747,6
748,0
749,6
750,1
751,8
752,1
753,1
754,8
755,7
756,3
757,9
758,7
759,7
760,9
761,1
762,4
763,2
764,2
765,2
766,5
767,8
768,1
769,0
770,8
771,4
772,2
773,5
774,9
775,1
776,9
777,6
778,9
779,5
780,1
781,7
782,8
783,6
784,1
785,6
786,7
787,9
788,8
789,6
790,8
791,4
792,4
793,7
794,8
795,0
796,0
797,8
798,3
799,7
800,2
801,1
802,1
803,5
804,3
805,5
806,5
807,9
808,7
809,5
810,9
811,0
812,8
813,2
814,9
815,3
816,6
817,0
818,6
819,0
820,6
821,9
822,7
823,7
824,2
825,1
826,6
827,9
828,3
829,7
830,2
831,4
832,6
833,9
834,6
835,1
836,8
837,2
838,1
839,1
840,2
841,3
842,8
843,3
844,6
845,1
846,6
847,8
848,0
849,8
850,2
851,2
852,6
853,7
854,4
855,4
856,4
857,8
858,6
859,3
860,4
861,4
862,1
863,9
864,3
865,2
866,9
867,0
868,3
869,6
870,8
871,4
872,2
873,8
874,7
875,2
876,5
877,0
878,3
879,0
880,5
881,3
882,9
